Plant Name,Soil Moisture,Sunlight Intensity,Temperature,Humidity
Peony,51.31,10492.45,39.98,28.17
Rain Lily,78.08,28305.65,16.29,43.79
Hydrangea,22.82,21605.27,34.21,20.41
Morning Glory,76.18,26691.78,39.93,63.51
Rohira,22.52,48283.97,10.5,37.49
Adenium,49.86,68646.85,23.77,55.85
Flame Lily,33.37,64508.31,15.9,55.11
Crape Jasmine,67.16,42858.22,18.03,44.19
Foxglove,57.45,55184.24,23.12,38.52
Globe Amaranth,11.29,30001.69,12.8,26.57
Champa,44.27,45787.08,18.48,23.78
Sacred Lotus,27.43,14977.62,12.55,75.83
Brahma Kamal,53.64,54830.56,38.52,70.77
Screw Pine,10.47,74950.11,16.88,86.91
Plumeria,75.99,28253.06,37.04,57.31
Globe Amaranth,45.47,59573.75,10.58,29.82
Pride of India,66.99,53904.48,29.6,56.01
Bluebell,25.61,20608.04,29.15,83.85
Adenium,36.04,32285.9,18.09,20.62
Golden Shower,14.89,40812.43,10.48,39.43
Hydrangea,51.61,45973.63,31.49,63.77
Freesia,71.48,50309.57,16.45,39.89
Calla Lily,22.96,69855.38,22.08,33.94
Sundew,24.59,12450.39,35.57,48.48
Showy Medinilla,18.69,12578.68,26.14,57.31
Indian Hawthorn,27.66,20810.96,38.95,68.91
Lily,20.29,56431.84,13.46,34.54
Bougainvillea,22.44,32455.74,26.98,70.22
Frangipani,67.42,62036.72,28.08,55.29
Brahma Kamal,69.64,72305.06,26.51,29.7
Butterfly Pea,57.34,35095.1,24.64,47.03
Mussaenda,55.65,49910.29,28.16,69.76
Tuberose,12.53,19652.72,15.99,86.43
Madhumalti,73.94,67383.48,25.5,27.16
Salvia,44.18,34774.46,19.84,32.46
Cosmos,63.95,40404.27,23.24,46.94
Golden Shower,51.23,69922.06,27.46,28.36
Evening Primrose,35.22,44770.15,24.5,61.97
Hibiscus,19.93,38190.35,35.73,70.98
Shankhpushpi,79.94,69704.45,28.22,49.63
Parijat,71.81,69952.12,39.78,67.19
Orchid,53.85,71500.03,24.93,42.92
Marigold,28.2,60861.32,27.73,28.83
Celosia,67.32,48833.16,22.22,52.09
Bakul,53.26,72478.28,12.85,70.03
Pansy,54.99,39422.39,28.48,39.43
Daisy,52.97,36540.83,14.43,56.56
Lavender,64.07,32026.04,27.11,66.79
Indian Pennywort,36.94,16474.16,29.8,50.42
Flame Lily,25.33,37508.53,12.16,34.55
Morning Glory,65.51,16766.32,31.06,67.28
Datura,13.7,59587.27,20.66,83.91
Cockscomb,62.6,72148.81,33.37,39.71
Geranium,77.56,76588.07,10.91,41.72
Hibiscus,69.93,63934.25,25.61,43.72
Marigold,68.55,32578.33,28.43,86.68
Chrysanthemum,17.86,18515.62,29.78,39.03
Palaash,67.78,73862.66,33.47,81.35
Datura,70.23,75240.94,22.43,56.75
Geranium,69.2,46620.83,13.63,27.52
Indian Medlar,65.14,14809.83,27.55,59.82
Adenium,57.33,26151.3,13.83,30.88
Golden Shower,51.62,51846.81,27.3,78.7
Showy Medinilla,56.05,42668.29,38.21,73.32
Gladiolus,72.5,75984.89,15.65,73.18
Pansy,44.42,58352.9,16.98,52.23
Frangipani,27.74,28872.12,22.2,61.39
Calla Lily,30.59,74143.67,19.29,68.28
Cockscomb,50.56,58811.87,23.6,76.2
Vetiver,74.56,18520.71,39.85,68.67
Adenium,23.4,67989.06,10.44,36.35
Adenium,31.95,33857.98,20.27,45.76
Nigella,67.04,53034.28,21.25,82.26
Sundew,60.59,68188.65,34.96,67.02
Screw Pine,31.82,40785.41,29.63,70.73
Harsingar,71.33,19639.62,19.55,34.82
Celosia,37.15,51265.47,24.41,23.97
Rose,38.42,34869.01,35.83,76.68
Sita Ashok,17.14,26316.28,29.84,43.26
Geranium,35.28,78998.55,12.3,67.8
Foxglove,38.41,54076.45,32.04,75.03
Sita Ashok,44.8,31563.3,19.72,48.58
Champa,73.97,62383.75,38.51,59.81
Morning Glory,39.36,24812.76,32.77,34.46
Calla Lily,62.46,12808.37,35.12,40.72
Cockscomb,38.27,74617.92,18.26,61.75
Rain Lily,57.64,34935.51,31.34,35.24
Showy Medinilla,26.09,52986.24,21.24,45.83
Vetiver,31.72,37114.1,15.28,71.19
Kadamba,31.45,79680.3,37.75,87.33
Champa,79.83,48959.96,17.03,54.67
Glory Lily,38.77,15047.71,26.22,52.98
Ylang Ylang,14.32,63236.4,17.01,68.9
Evening Primrose,25.87,50586.7,10.91,47.8
Parijat,56.02,16602.66,12.82,85.18
Showy Medinilla,65.27,56000.25,38.87,79.13
Amaryllis,25.59,47643.34,32.51,62.59
Datura,33.16,58851.23,30.86,89.59
Parijat,44.91,33593.02,19.2,75.49
Globe Amaranth,36.05,14421.85,13.73,35.3
Evening Primrose,44.81,33143.92,16.85,76.28
Showy Medinilla,69.65,78114.42,23.8,88.87
Coreopsis,24.16,11594.93,31.49,74.21
Hibiscus,28.94,32577.9,18.26,28.75
Cockscomb,31.63,45398.97,23.44,54.1
Periwinkle,72.05,36675.09,33.9,87.15
Gladiolus,31.44,76592.91,34.9,64.37
Bluebell,58.86,47233.02,36.66,57.66
Daffodil,25.1,26640.89,31.51,74.86
Indian Hawthorn,41.12,48695.3,13.33,67.1
Harsingar,12.52,27133.27,16.88,53.48
Poppy,77.02,15884.59,38.57,79.54
Indian Pennywort,36.41,21239.29,33.86,61.74
Jasmine,50.49,58644.39,22.55,25.72
Verbena,12,51554.68,39.4,64.73
Palaash,71.21,29298.03,35.24,21.49
Orange Trumpet Vine,18.52,77998.34,10.86,21.15
Akash Neem,36.71,71070.07,23.11,39.48
Tulip,12.87,31164.88,25.22,89.39
Frangipani,18.55,24022.06,36.87,46.27
Lily,32.59,41439.34,37.59,31.82
Showy Medinilla,49.45,13815.04,21.66,44.98
Red Silk Cotton Tree,37.65,46367.96,13.09,46.92
Dombeya,58.69,20795.95,39.8,49.76
Indian Laburnum,13.98,40970.98,25.08,57.87
Periwinkle,41.81,13695.45,28.49,33.79
Orange Trumpet Vine,15.95,43909.31,14.5,35.99
Sita Ashok,30.08,49531.36,33.45,29.39
Gladiolus,61.88,68439.99,33.44,34.96
Cockscomb,24.21,56556.36,18.62,68.26
Indian Medlar,24.55,35407.09,31.03,38.81
Lotus,24.27,20402.42,21.68,88.01
Bakul,43.86,45334.46,11.3,72.73
Coreopsis,18.42,51608.27,14.93,46.03
Datura,25.36,44529.52,32.16,78.05
Rajnigandha,52.39,42461.43,26.65,75.03
Hibiscus,74.65,13463.63,34.93,20.59
Kaner,34.02,18181.89,13.3,60.95
Champa,20.93,10073.9,28.55,33.78
Champa,53.64,12759.86,17.85,60.95
Showy Medinilla,12.57,23271.42,18.05,59.31
Calla Lily,69.24,69325.8,33.49,52.26
Kaner,56.8,16699.47,21.43,37.8
Vetiver,70.46,12260.65,37.35,79.14
Zinnia,55.63,42492.93,32.78,45.85
Indian Hawthorn,67.94,20944.84,20.39,42.51
Datura,53.61,56409.32,20.63,30.93
Freesia,47.92,28412.2,24.63,37.3
Nag Champa,23.7,66804.23,17.37,69.24
Crape Myrtle,39.35,70429.64,19.76,54.98
Sunflower,52.97,68520.19,24.49,24.52
Champa,46.98,17439.75,17.56,29.28
Crape Jasmine,17.48,44624.45,33.12,30.2
Indian Coral Tree,22.46,41807.44,29.52,60.72
Geranium,18.26,53534.31,27.12,45.39
Amaryllis,56.1,34240.51,26.73,61.58
Camellia,20.57,76488,22.83,41.8
Dombeya,74.73,36968.91,25.59,70.72
Primrose,49.16,51453.4,30.31,22.51
Marigold,11.62,57966.22,18.19,38.79
Camellia,48.17,43984.82,10.21,36.57
Cosmos,43.64,61459.13,39.82,37.12
Lily,53.82,31887.94,30.21,51.19
Globe Amaranth,56.83,78263.55,37.59,40.41
Red Silk Cotton Tree,66.87,47909.07,38.65,26.53
Glory Lily,70.19,66065.05,38.44,43.79
Indian Cork Tree,38.78,26144.7,18.37,28.29
Gladiolus,70.16,39387.26,33.6,76.25
Shankhpushpi,62.72,47879.89,22.54,69.87
Verbena,47.15,52840.65,38.14,24.67
Primrose,11.59,68000.96,11.68,59
Snapdragon,78.7,30819.37,17.91,33.18
Blue Lotus,60.25,30923.8,27.14,59.79
Mussaenda,59.23,29306.04,26.57,72.84
Celosia,20.94,78430.59,10.78,31.63
Bluebell,11.34,60569.72,36.75,63.53
Parijat,34.7,32978.73,31.27,73.14
Hollyhock,41.65,78662.06,23.63,43.81
Primrose,62.11,34219.22,13.69,24.03
Rajnigandha,70.12,31239.32,27.22,83.47
Kaempferia,47.48,59953.26,28.02,78
Ranunculus,42.51,75929.23,34.53,67.27
Shankhpushpi,22.29,48915.86,33.55,75.9
Orange Trumpet Vine,10.27,23990.93,26.33,77.38
Morning Glory,37.33,52300.63,13.12,25.4
Screw Pine,77.72,66848.59,35.28,50.7
Buttercup,72.78,63149.84,36.35,78.79
Red Silk Cotton Tree,43.44,28906.77,33.38,30.9
Cockscomb,53.09,72442.43,31.68,23.43
Gladiolus,45.11,29708.72,27.93,85.89
Peony,76.99,13349.72,20.78,27.29
Salvia,14.03,50849.12,32.75,29.2
Sita Ashok,40.61,55750.83,14.59,40.93
Rohira,51.53,17937.04,16.85,79.88
Sita Ashok,78.99,28509.92,21.82,88.34
Rain Lily,66,64276.94,21.99,45.31
Bakul,58.55,21987.13,26.61,64.16
Lavender,75.39,36213.53,38.12,52.75
Rose,29.69,30744.22,14.26,78.55
Champa,70.07,58450.95,27.41,75.98
Marigold,20.71,27520.57,36.6,80.79
Jasmine,62.56,25551.57,19.43,29.9
Ixora,52.51,44451.56,24.65,79.91
Sundew,26.58,29343.54,28.18,71.87
Primrose,56.9,20916.35,27.16,51.1
Kaner,61.68,17480.57,29.3,37.25
Bougainvillea,15.43,15190.12,35.43,89.33
Brahma Kamal,12.65,79318.6,31.35,60.45
Golden Shower,26.77,56578.84,35.85,54.14
Indian Hawthorn,61.96,50122.2,23.6,32.04
Pride of India,43.3,30919.47,20.53,53.46
Crape Myrtle,18.7,23105.98,11.65,33.87
Neelakurinji,11.88,58809.69,39.56,52.94
Bakul,78.64,29652.11,18.25,80.12
Sita Ashok,29.81,22602.23,10.62,83.28
Parijat,72.93,66386.91,17.06,42.82
Buttercup,16.87,61994.17,30.07,50.67
Dahlia,73.45,72330.74,27.29,58.93
Kaner,35.88,18573.4,38.62,87.12
Buttercup,44.14,35829.31,10.51,36.9
Akash Neem,53.95,57405.12,31.24,77.29
Tuberose,72.45,28388.82,17.7,57.46
Zinnia,61.16,43531.95,22.67,80.01
Rain Lily,61.03,68308.75,35.42,73.94
Dombeya,58.17,57176.61,39.34,69.12
Madhumalti,32.94,65549.46,10.48,66.01
Orchid,41.92,17131.2,23.27,40.5
Globe Amaranth,20.37,20649.17,18.55,26.17
Mussaenda,17.93,72072.44,23.57,89.37
Screw Pine,68.76,53182.83,21.27,86.87
Showy Medinilla,38.34,37648.87,13.38,33.26
Canna Lily,68.63,13552.28,11.71,44.72
Ylang Ylang,14.35,15719.67,15.4,23.41
Indian Cork Tree,12.76,70903.25,35.06,55.02
Blue Lotus,77.59,43875.83,39.87,72.73
Butea Monosperma,46.74,27535.79,16.5,80.71
Geranium,75.24,12792.89,17.15,50.3
Akash Neem,51.87,72394.75,19.31,45.13
Salvia,51.07,12522.23,11.7,86.33
Sacred Lotus,60.02,78203.8,11.21,85.4
Shankhpushpi,46.19,52574.68,25.1,75.17
Vetiver,33.56,19710.56,19.98,56.52
Indian Coral Tree,45.04,16257.05,32.49,61.74
Kadamba,61.27,26075.18,19.71,60.15
Indian Laburnum,41.47,63558.9,34.31,57.91
Hibiscus,53.55,26179.72,18.65,80.17
Orange Trumpet Vine,16.68,27771.38,28.11,80.88
Sundew,39.28,55952.78,25.35,51.04
Petunia,62.66,37518.92,12.16,73.9
Datura,32.89,20386.37,14.86,51.42
Rajnigandha,67.24,60500.42,25,82.44
Nag Champa,77.34,67088.14,38.6,65.52
Salvia,28.44,33095.26,29.61,54.19
Cosmos,10.98,48321.69,19.19,53.99
Akash Neem,20.32,20660.57,18.85,58.32
Showy Medinilla,76.32,67657.39,23.34,51.19
Lotus,45.41,13665.64,35.44,61.12
Champa,73.89,40138.16,26.98,32.18
Hollyhock,70.17,44330.61,21.06,78.49
Tuberose,71.39,22450.21,39.86,48.76
Globe Amaranth,61.17,52178.43,40,54.89
Begonia,29.86,43308.88,18.68,47.28
Evening Primrose,60.11,73490.52,23.96,62.41
Globe Amaranth,23.46,23918.3,22.45,86.51
Kaempferia,32.57,10281.9,10.06,59.58
Saraca Asoca,70.43,21945.83,20.11,23.49
Morning Glory,53.45,45752.23,16.8,83.2
Bluebell,44.48,13857.11,30.59,60.35
Dombeya,41.31,56248.36,26.55,33.75
Jasmine,52.25,23318.75,26.36,85.03
Champa,21.06,45275.93,27.77,53.87
Kaempferia,72.21,31621.87,22.82,53.73
Madhumalti,73.92,35886.42,18.04,36.19
Queen's Crape Myrtle,34.85,43434.21,35.12,42.94
Ylang Ylang,68.11,32929.83,11.1,54.67
Jasmine,41.12,37551.4,26.62,82.2
Nag Champa,24.99,79882.31,33.51,66.05
Peony,29.52,34134.07,24.6,30.8
Brahma Kamal,58.18,21525.46,37.05,80.09
Salvia,60.15,24240.37,16,59.02
Bakul,72.8,31320.4,25.97,67.75
Glory Lily,65.87,25741.86,30.85,26.62
Red Silk Cotton Tree,59.27,61968.21,34.58,69.93
Indian Coral Tree,29.88,66967.24,13.57,81.83
Datura,21.07,65960,25.06,89.84
Calla Lily,73.08,79552.23,19.07,72.66
Dahlia,27.98,78430.78,16.61,47.32
Gomphrena,65.37,67044.48,23.1,55.19
Buttercup,69.92,77939.87,25.82,27.47
Orange Trumpet Vine,10.5,56796.52,13.05,72.63
Nag Champa,67.94,77205.64,21.88,25.93
Akash Neem,50.16,23605.12,15.65,88.79
Geranium,62.19,74421.31,21.3,32.64
Bougainvillea,34.55,34509.54,26.02,63.44
Periwinkle,45.67,38614.08,14.75,24.92
Begonia,59.84,26588.21,10.14,76.15
Saraca Asoca,49.92,12486.64,24.13,56.39
Datura,27.71,34737.58,23.55,82.38
Sita Ashok,38.45,72490.3,19.85,75.28
Vetiver,43.6,73597.32,27.63,23.78
Amaryllis,44.15,70600.17,29.23,87.78
Peony,79.27,36275.04,39.09,43.24
Balsam,23.98,61584.36,23.53,34.83
Indian Cork Tree,73.2,41122,14.43,75.98
Salvia,63.63,12409.27,39.44,55.77
Hollyhock,50.66,25044.3,37.17,45.01
Buttercup,13.57,48800.06,22.98,35.47
Lily,72.77,34936.16,21.64,89.53
Tulip,59.35,43773.52,31.82,59.41
Dahlia,52.63,26457.17,10.01,32.92
Rohira,73.49,51396.85,33.69,75.47
Orange Trumpet Vine,29.78,25807.97,19.47,84.47
Indian Cork Tree,66.77,48201.42,14.25,38.64
Cockscomb,49.32,71715.29,33.74,60.84
Mussaenda,42.37,10853.19,25.81,28.62
Rajnigandha,34.72,41463.51,37.82,27.66
Red Silk Cotton Tree,66.11,30612.26,10.33,65.84
Rain Lily,72.11,41080.09,33.89,61.6
Cosmos,17.79,54863.81,36.11,69.19
Screw Pine,60.31,57750.28,21.57,28.1
Poppy,78.48,38765.7,21.96,42.84
Kaempferia,27.74,35713.79,11.41,73.66
Sita Ashok,17.07,51817.17,12.04,51.55
Verbena,71.5,40684.4,22.07,62.67
Kadamba,78.26,58990.55,30.96,21.64
Dahlia,25.37,11411.59,16.36,44.64
Indian Medlar,62.9,55485.04,20.81,78.97
Screw Pine,74.28,68894.62,32.26,73.73
Indian Cork Tree,17,38865.1,39.57,61.79
Neelakurinji,50.15,18313.18,17.24,53.77
Cockscomb,23.72,32847.11,33.47,69.96
Kadamba,14.77,43577.72,30.62,70.52
Dahlia,67.13,53959.16,26.86,36.58
Neelakurinji,32.31,54522.49,29.25,75.94
Champa,57.65,53433.58,20.77,59.51
Cosmos,36.97,79791.36,32.94,48.83
Lotus,52.08,77848.36,34.53,41.52
Foxglove,21.59,38939.9,34.43,63.06
Indian Laburnum,17.73,21958.44,38.1,69.63
Freesia,30.52,41884.37,20.46,81.78
Salvia,56.56,22208.58,17.44,28.26
Parijat,55.61,36601.27,34.05,50.99
Salvia,15.91,25165.9,17.81,40.64
Rain Lily,34.3,59501.16,29.72,22.62
Jasmine,15.75,26028.63,30.49,72.71
Flame Lily,49.74,57826.52,34.85,55.57
Akash Neem,68.62,44386.83,17.15,38.41
Flame Lily,21.35,10710.82,13.32,88.19
Begonia,57.91,78439.05,30.7,84.47
Kadamba,35.23,17516.99,24.66,53.6
Sita Ashok,33.97,63709.13,24.94,38.3
Indian Laburnum,75.56,61080.02,16.47,66.9
Begonia,10.59,21606.77,31.65,26.63
Butterfly Pea,10.55,60151.74,28.57,64.8
Nag Champa,48.56,17286.72,31.86,71.73
Indian Medlar,38.38,39388.1,14.65,66.04
Zinnia,59.56,42452.55,33.22,64.19
Periwinkle,16.65,53965.21,39.69,38.66
Freesia,41.53,57228.28,11.11,64.44
Palaash,54.9,10097.74,19.97,58.63
Rajnigandha,35.74,12046.06,23.93,83.83
Rohira,13.67,70025.94,31.05,29.88
Indian Laburnum,25.38,37288.42,30.62,61.91
Tuberose,47.56,73045.17,32.11,37.73
Sunflower,49.24,14822.35,25.52,21.4
Red Silk Cotton Tree,43.95,52398.3,22.85,24.81
Freesia,48.45,71666.47,34.45,87.09
Champa,16.87,48060.41,25.88,67.03
Glory Lily,40.64,57440.34,20.99,35.49
Datura,23.98,22045.34,30.13,81.6
Calla Lily,48.84,57643.21,28.53,77.34
Rain Lily,26.05,75515.26,14.86,20.83
Rajnigandha,55.01,11077.75,12.63,81.13
Foxglove,41.65,18274.47,26.32,70.31
Freesia,21.38,39863.85,12.71,66.16
Rajnigandha,35.18,75174.73,31.83,83.3
Petunia,65.69,21595.06,19.36,35.3
Golden Shower,43.22,66723.73,27.03,42.2
Cosmos,63.57,30432.53,18.18,35.52
Tuberose,60.03,50843.58,31.97,37.6
Red Silk Cotton Tree,44.29,17362.31,36.43,53.8
Queen's Crape Myrtle,60.06,46901.38,23.16,26.73
Champa,39.65,28466.55,28.06,45.82
Champa,32.28,24295.36,20.3,59.47
Indian Cork Tree,34.75,25675.7,11.72,64.89
Morning Glory,23.99,69720.32,37.42,70.7
Lotus,52.08,11231.35,16.88,34.47
Globe Amaranth,76.58,17022.76,15.55,88.42
Poppy,33.5,74441.41,37.44,88.39
Kaner,41.68,50609.05,12.18,30.64
Hydrangea,43.59,43052.48,34.73,88.03
Petunia,69.31,23764,29.46,85.11
Brahma Kamal,13.44,41017.01,33.95,79.41
Gomphrena,33.87,44847.7,23.68,88.62
Orange Trumpet Vine,60.96,71697.38,31.77,78.81
Vetiver,66.84,62370.25,18.67,84.42
Butterfly Pea,25.25,71623.04,36.34,20.89
Indian Coral Tree,71.82,74521.92,18.68,70.51
Sundew,22.37,31782.62,24.52,34.26
Orange Trumpet Vine,47.75,30842.4,34.33,83.65
Screw Pine,11.22,65519.36,35.42,72.36
Indian Cork Tree,41.08,26499.69,26.76,52.09
Indian Cork Tree,32.72,33833.05,17.16,54.73
Primrose,39.55,54996.38,27.68,52.02
Palaash,11.32,43436.81,35.68,30.93
Harsingar,24.79,31318.23,29.75,27.55
Screw Pine,60.57,45505.06,31.84,35.36
Brahma Kamal,30.82,17718.69,19.33,44.74
Rose,21.33,34906.25,18.81,74.55
Jasmine,77.35,40856.2,28.48,44.11
Indian Cork Tree,18.57,64654.5,29.36,75.35
Begonia,68.67,11686.81,13.6,43.17
Kaner,66.48,55274.94,25.44,67.71
